Day,Date,PlantID,plantheightcm,OLlength(cm),OLwidth(cm),MRFLlength(cm),MRFLwidth(cm),numberofleaves,RGR_plantheightcm,RGR_OLlength(cm),RGR_OLwidth(cm),RGR_MRFLlength(cm),RGR_MRFLwidth(cm),RGR_numberofleaves
9,3-Feb,71,1.3,3.8,2.7,3.8,2.7,1,0.05,0.7,0.3,0.4,0.4,0
14,8-Feb,71,2.2,4.8,3.3,2.6,1.6,2,1.76,0.46,0.12,1.48,1.02,0.6
23,17-Feb,71,5.7,6,4.9,4,4.2,5,0.7,-0.3,-0.15,-2.35,-2.05,1.5
7,1-Feb,72,4.1,5.7,4.4,5.7,4.4,1,0,0,0,0,0,0
9,3-Feb,72,5.7,6.9,5.5,2.5,1.9,2,0.05,0.7,0.3,0.4,0.4,0
14,8-Feb,72,8.1,8,6.5,8,6.5,2,1.76,0.46,0.12,1.48,1.02,0.6
23,17-Feb,72,9.9,3.6,6,5.9,6.3,6,0.7,-0.3,-0.15,-2.35,-2.05,1.5
7,1-Feb,73,4,4.7,3.5,4.7,3.5,1,0,0,0,0,0,0
9,3-Feb,73,5.4,5.6,4.6,5.6,4.6,2,0.05,0.7,0.3,0.4,0.4,0
14,8-Feb,73,7.4,6.5,5.5,4.5,4,2,1.76,0.46,0.12,1.48,1.02,0.6
23,17-Feb,73,11.7,3.7,5.6,5.9,7.1,6,0.7,-0.3,-0.15,-2.35,-2.05,1.5
2,27-Jan,74,4.7,2.7,1.6,2.7,1.6,2,0,0,0,0,0,0
7,1-Feb,74,6.9,7.7,5.9,2.2,2.3,2,0.05,0.7,0.3,0.4,0.4,0
9,3-Feb,74,7.5,8.5,6.8,4.5,3.9,2,1.76,0.46,0.12,1.48,1.02,0.6
14,8-Feb,74,9.7,9.1,7.5,9.1,7.5,3,0.7,-0.3,-0.15,-2.35,-2.05,1.5
23,17-Feb,74,11.7,3.1,6.6,4.5,5.5,6,2.5,0.16,0.04,0.36,0.4,0.4
2,27-Jan,75,0.2,3.1,1.5,3.1,1.5,2,0,0,0,0,0,0
7,1-Feb,75,1.4,6.4,3.1,3.9,2,4,0.05,0.7,0.3,0.4,0.4,0
9,3-Feb,75,2.3,7,3.7,4.7,2.1,5,1.76,0.46,0.12,1.48,1.02,0.6
14,8-Feb,75,2.7,7.2,3.5,5.5,2.5,9,0.7,-0.3,-0.15,-2.35,-2.05,1.5
23,17-Feb,75,18.9,7.4,3.8,4.6,2.4,20,2.5,0.16,0.04,0.36,0.4,0.4
2,27-Jan,76,0.3,4,1.2,4,1.2,2,0,0,0,0,0,0
7,1-Feb,76,1.5,6.1,1.8,4.1,1.7,4,0.05,0.7,0.3,0.4,0.4,0
9,3-Feb,76,1.4,6.4,2,4.6,1.8,4,1.76,0.46,0.12,1.48,1.02,0.6
14,8-Feb,76,1.2,6.4,2.2,2.7,2.1,6,0.7,-0.3,-0.15,-2.35,-2.05,1.5
21,15-Feb,76,2.4,8.5,5.2,5.1,3.9,12,2.5,0.16,0.04,0.36,0.4,0.4
2,27-Jan,77,8,10,8.7,10,8.7,2,0,0,0,0,0,0
7,1-Feb,77,12.1,12.4,11.4,6.9,3.1,5,0.05,0.7,0.3,0.4,0.4,0
9,3-Feb,77,23.1,11,10.2,3.8,1.6,8,1.76,0.46,0.12,1.48,1.02,0.6
14,8-Feb,77,50.9,11.2,10.5,2.8,1.9,11,0.7,-0.3,-0.15,-2.35,-2.05,1.5
21,15-Feb,77,81.9,12.4,11.8,4,2.1,14,2.5,0.16,0.04,0.36,0.4,0.4
2,27-Jan,78,11.2,12.5,11.2,12.5,11.2,2,0,0,0,0,0,0
7,1-Feb,78,27.4,15.2,13.6,4.9,2.3,8,0.05,0.7,0.3,0.4,0.4,0
9,3-Feb,78,48.1,15.1,13.1,8.1,3.8,14,1.76,0.46,0.12,1.48,1.02,0.6
14,8-Feb,78,108.1,15,13.3,3.3,1.4,20,0.7,-0.3,-0.15,-2.35,-2.05,1.5
23,17-Feb,78,106,13.4,13.8,3.2,2.1,25,2.5,0.16,0.04,0.36,0.4,0.4
2,27-Jan,79,6.1,3.1,6.1,3.1,6.1,2,0,0,0,0,0,0
7,1-Feb,79,6.3,4.2,7.3,7.8,3.5,5,0.05,0.7,0.3,0.4,0.4,0
9,3-Feb,79,7.2,4.3,6.8,9,4.9,8,1.76,0.46,0.12,1.48,1.02,0.6
